=== REPORTE DE SIMULACION TFG ===
Identificador;22_04_19_01
Turnos Totales Simulados;34


=== CAPA 1: MACRO-ESTADOS ===
Version;Macro_Estado;Turnos_Absolutos;Porcentaje
V1_Completa;DESCANSO;220;86.61%
V1_Completa;OBLIGACIONES;15;5.91%
V1_Completa;TAREAS_DOMESTICAS;11;4.33%
V1_Completa;OCIO;8;3.15%
V2_Pura;TAREAS_DOMESTICAS;11;64.71%
V2_Pura;OBLIGACIONES;4;23.53%
V2_Pura;OCIO;2;11.76%


=== CAPA 2: MICRO-ACCIONES ===
Version;Macro_Estado;Micro_Accion;Turnos_Absolutos;Porcentaje_Relativo
V1_Completa;DESCANSO;sueno_profundo;220;100.0%
V1_Completa;OBLIGACIONES;desplazamiento_urbano;11;73.33%
V1_Completa;OBLIGACIONES;gestiones_personales;4;26.67%
V1_Completa;TAREAS_DOMESTICAS;mantenimiento_del_hogar;8;72.73%
V1_Completa;TAREAS_DOMESTICAS;ver_rrss;2;18.18%
V1_Completa;TAREAS_DOMESTICAS;conversacion_con_convivientes;1;9.09%
V1_Completa;OCIO;desplazamiento_urbano;6;75.0%
V1_Completa;OCIO;ocio_digital_activo;1;12.5%
V1_Completa;OCIO;actividad_cultural;1;12.5%
V2_Pura;TAREAS_DOMESTICAS;mantenimiento_del_hogar;8;72.73%
V2_Pura;TAREAS_DOMESTICAS;ver_rrss;2;18.18%
V2_Pura;TAREAS_DOMESTICAS;conversacion_con_convivientes;1;9.09%
V2_Pura;OCIO;ocio_digital_activo;1;50.0%
V2_Pura;OCIO;actividad_cultural;1;50.0%
V2_Pura;OBLIGACIONES;gestiones_personales;4;100.0%


=== MOTOR ESPACIAL: LUGARES VISITADOS ===
Lugar;Visitas_Totales
Oficina_Centro;6
Universidad_Norte;5
Polideportivo;2
Centro_Jubilados;1
Parque_Central;1
Biblioteca_Municipal;1
Cafeteria_Tranquila;1
